id,class,palmitic,stearic,oleic,linoleic,linolenic,eicosanoic,eicosenoic,description
1,pumpkin,9.7,5.2,31,52.7,0.4,0.4,0.1,pumpkin
2,pumpkin,11.1,5,32.9,49.8,0.3,0.4,0.1,pumpkin
3,pumpkin,11.5,5.2,35,47.2,0.2,0.4,0.1,pumpkin
4,pumpkin,10,4.8,30.4,53.5,0.3,0.4,0.1,pumpkin
5,pumpkin,12.2,5,31.1,50.5,0.3,0.4,0.1,pumpkin
6,pumpkin,9.8,4.2,43,39.2,2.4,0.4,0.5,pumpkin
7,pumpkin,10.5,5,31.8,51.3,0.4,0.4,0.1,pumpkin
8,pumpkin,10.5,5,31.8,51.3,0.4,0.4,0.1,pumpkin
9,pumpkin,11.5,5.2,35,47.2,0.2,0.4,0.1,pumpkin
10,pumpkin,10,4.8,30.4,53.5,0.3,0.4,0.1,pumpkin
11,pumpkin,11.1,5,32.9,49.8,0.3,0.4,0.1,pumpkin
12,pumpkin,9.3,4.4,43.3,39.2,2.3,0.4,0.5,pumpkin
13,pumpkin,12.2,5,31.1,50.5,0.3,0.4,0.1,pumpkin
14,pumpkin,9.7,5.6,35.2,47.8,0.5,0.4,0.2,pumpkin
15,pumpkin,11.1,4.6,28.3,50.6,4.2,0.4,0.2,pumpkin
16,pumpkin,11,4.7,29.8,49.6,3.4,0.4,0.2,pumpkin
17,pumpkin,11.6,6,35.4,45.9,0.2,0.4,0.1,pumpkin
18,pumpkin,9.8,5.3,31.7,51.3,0.8,0.4,0.2,pumpkin
19,sunflower,6.1,4.1,24,64.3,0.1,0.3,0.1,sunflower
20,sunflower,6.2,3.9,27.1,59.9,1.3,0.3,0.3,sunflower
21,sunflower,6,4.9,22.8,64.4,0.3,0.3,0.2,sunflower
22,mixed_unknown,6.7,3.4,35.2,49.3,3.6,0.4,0.5,vegetable
23,mixed_unknown,3.8,3.9,77.8,12.4,0.2,0.3,0.2,vegetable
24,mixed_unknown,10.1,4.7,26.1,52.6,5.2,0.4,0.2,vegetable
25,mixed_unknown,4.9,2.2,58.2,25.2,7.1,0.6,1.2,vegetable
26,mixed_unknown,6.1,2.7,45.7,37.4,5.9,0.5,0.8,vegetable
27,mixed_unknown,7.2,4.5,25.6,61.1,0.2,0.3,0.2,vegetable
28,mixed_unknown,5.9,2.4,55.5,27.7,6.2,0.6,1.1,vegetable unrefined
29,mixed_unknown,10.9,3.8,25.3,53,5.6,0.4,0.2,vegetable unrefined
30,sunflower,6.2,4.1,26.8,61.4,0.1,0.3,0.2,sunflower
31,sunflower,6.1,4,25.2,63.2,0.1,0.2,0.2,sunflower
32,soybean,10.9,3.6,26,52.6,5.5,0.4,0.2,soybean
33,soybean,9.6,3.5,30.3,49.2,5.9,0.4,0.3,soybean
